No,Time,Replicate,media,OD,Strain
76,12,1,DM29 + GlcNAc,0.733200014,MS001
77,12,1,DM29 + Sialic Acid,0.61060001,MS001
78,12,2,DM29,0.309400007,MS001
79,12,2,DM29 + Glucose,0.686700016,MS001
80,12,2,DM29 + Galactose,0.13409999,MS001
81,12,2,DM29 + Mucin Type II,0.006200016,MS001
82,12,2,DM29 + GlcNAc,0.637600005,MS001
83,12,2,DM29 + Sialic Acid,0.609600022,MS001
84,12,3,DM29,0.315900013,MS001
85,12,3,DM29 + Glucose,0.709000021,MS001
86,12,3,DM29 + Galactose,0.162299991,MS001
87,12,3,DM29 + Mucin Type II,0.0167,MS001
88,12,3,DM29 + GlcNAc,0.6505,MS001
89,12,3,DM29 + Sialic Acid,0.651999965,MS001
90,15,1,DM29,0.312699988,MS001
91,15,1,DM29 + Glucose,0.649300009,MS001
92,15,1,DM29 + Galactose,0.274100006,MS001
93,15,1,DM29 + Mucin Type II,0.344199985,MS001
94,15,1,DM29 + GlcNAc,0.609200001,MS001
95,15,1,DM29 + Sialic Acid,0.606700018,MS001
96,15,2,DM29,0.29990001,MS001
97,15,2,DM29 + Glucose,0.629099995,MS001
98,15,2,DM29 + Galactose,0.311100006,MS001
99,15,2,DM29 + Mucin Type II,0.182999998,MS001
100,15,2,DM29 + GlcNAc,0.571200013,MS001
101,15,2,DM29 + Sialic Acid,0.582099989,MS001
102,15,3,DM29,0.305899993,MS001
103,15,3,DM29 + Glucose,0.634600014,MS001
104,15,3,DM29 + Galactose,0.325100005,MS001
105,15,3,DM29 + Mucin Type II,0.186700016,MS001
106,15,3,DM29 + GlcNAc,0.547299981,MS001
107,15,3,DM29 + Sialic Acid,0.627200022,MS001
108,18,1,DM29,0.295499995,MS001
109,18,1,DM29 + Glucose,0.551000029,MS001
110,18,1,DM29 + Galactose,0.279799998,MS001
111,18,1,DM29 + Mucin Type II,0.361000031,MS001
112,18,1,DM29 + GlcNAc,0.578400016,MS001
113,18,1,DM29 + Sialic Acid,0.502500013,MS001
114,18,2,DM29,0.27350001,MS001
115,18,2,DM29 + Glucose,0.52730003,MS001
116,18,2,DM29 + Galactose,0.304199994,MS001
117,18,2,DM29 + Mucin Type II,0.300500006,MS001
118,18,2,DM29 + GlcNAc,0.522599995,MS001
119,18,2,DM29 + Sialic Acid,0.490799978,MS001
120,18,3,DM29,0.283599988,MS001
121,18,3,DM29 + Glucose,0.529499978,MS001
122,18,3,DM29 + Galactose,0.310200006,MS001
123,18,3,DM29 + Mucin Type II,0.291699976,MS001
124,18,3,DM29 + GlcNAc,0.498899996,MS001
125,18,3,DM29 + Sialic Acid,0.533999994,MS001
126,21,1,DM29,0.298800007,MS001
127,21,1,DM29 + Glucose,0.540299982,MS001
128,21,1,DM29 + Galactose,0.277999997,MS001
129,21,1,DM29 + Mucin Type II,0.384600014,MS001
130,21,1,DM29 + GlcNAc,0.446699977,MS001
131,21,1,DM29 + Sialic Acid,0.470200017,MS001
132,21,2,DM29,0.269999996,MS001
133,21,2,DM29 + Glucose,0.514600009,MS001
134,21,2,DM29 + Galactose,0.293899983,MS001
135,21,2,DM29 + Mucin Type II,0.355399996,MS001
136,21,2,DM29 + GlcNAc,0.333799988,MS001
137,21,2,DM29 + Sialic Acid,0.454799965,MS001
138,21,3,DM29,0.277300015,MS001
139,21,3,DM29 + Glucose,0.518300027,MS001
140,21,3,DM29 + Galactose,0.310299993,MS001
141,21,3,DM29 + Mucin Type II,0.343099982,MS001
142,21,3,DM29 + GlcNAc,0.327699989,MS001
143,21,3,DM29 + Sialic Acid,0.545799986,MS001
144,24,1,DM29,0.299999997,MS001
145,24,1,DM29 + Glucose,0.520499975,MS001
146,24,1,DM29 + Galactose,0.273599982,MS001
147,24,1,DM29 + Mucin Type II,0.402500004,MS001
148,24,1,DM29 + GlcNAc,0.243499994,MS001
149,24,1,DM29 + Sialic Acid,0.436199978,MS001
150,24,2,DM29,0.266599998,MS001
151,24,2,DM29 + Glucose,0.490099996,MS001
152,24,2,DM29 + Galactose,0.293599993,MS001
153,24,2,DM29 + Mucin Type II,0.365699977,MS001
154,24,2,DM29 + GlcNAc,0.153600007,MS001
155,24,2,DM29 + Sialic Acid,0.378299966,MS001
156,24,3,DM29,0.276299998,MS001
157,24,3,DM29 + Glucose,0.48179999,MS001
158,24,3,DM29 + Galactose,0.281800002,MS001
159,24,3,DM29 + Mucin Type II,0.357000023,MS001
160,24,3,DM29 + GlcNAc,0.134299994,MS001
161,24,3,DM29 + Sialic Acid,0.531799987,MS001
162,27,1,DM29,0.288000002,MS001
163,27,1,DM29 + Glucose,0.365700007,MS001
164,27,1,DM29 + Galactose,0.260199994,MS001
165,27,1,DM29 + Mucin Type II,0.427400023,MS001
166,27,1,DM29 + GlcNAc,0.161599994,MS001
167,27,1,DM29 + Sialic Acid,0.264599994,MS001
168,27,2,DM29,0.261600003,MS001
169,27,2,DM29 + Glucose,0.344099998,MS001
170,27,2,DM29 + Galactose,0.286599994,MS001
171,27,2,DM29 + Mucin Type II,0.368199974,MS001
172,27,2,DM29 + GlcNAc,0.114600003,MS001
173,27,2,DM29 + Sialic Acid,0.185499981,MS001
174,27,3,DM29,0.275100008,MS001
175,27,3,DM29 + Glucose,0.316799998,MS001
176,27,3,DM29 + Galactose,0.285099983,MS001
177,27,3,DM29 + Mucin Type II,0.352499992,MS001
178,27,3,DM29 + GlcNAc,0.0968,MS001
179,27,3,DM29 + Sialic Acid,0.232299998,MS001
180,30,1,DM29,0.278000012,MS001
181,30,1,DM29 + Glucose,0.194200009,MS001
182,30,1,DM29 + Galactose,0.256999999,MS001
183,30,1,DM29 + Mucin Type II,0.45540002,MS001
184,30,1,DM29 + GlcNAc,0.140300006,MS001
185,30,1,DM29 + Sialic Acid,0.144700006,MS001
186,30,2,DM29,0.260299996,MS001
187,30,2,DM29 + Glucose,0.172699988,MS001
188,30,2,DM29 + Galactose,0.278600007,MS001
189,30,2,DM29 + Mucin Type II,0.369399995,MS001
190,30,2,DM29 + GlcNAc,0.104599997,MS001
191,30,2,DM29 + Sialic Acid,0.103799999,MS001
192,30,3,DM29,0.277499989,MS001
193,30,3,DM29 + Glucose,0.165399999,MS001
194,30,3,DM29 + Galactose,0.29459998,MS001
195,30,3,DM29 + Mucin Type II,0.355800003,MS001
196,30,3,DM29 + GlcNAc,0.087099999,MS001
197,30,3,DM29 + Sialic Acid,0.1294,MS001
198,33,1,DM29,0.284699991,MS001
199,33,1,DM29 + Glucose,0.149100006,MS001
200,33,1,DM29 + Galactose,0.26879999,MS001
201,33,1,DM29 + Mucin Type II,0.505499989,MS001
202,33,1,DM29 + GlcNAc,0.133899987,MS001
203,33,1,DM29 + Sialic Acid,0.115999997,MS001
204,33,2,DM29,0.270199999,MS001
205,33,2,DM29 + Glucose,0.130499989,MS001
206,33,2,DM29 + Galactose,0.252299994,MS001
207,33,2,DM29 + Mucin Type II,0.383900017,MS001
208,33,2,DM29 + GlcNAc,0.101500005,MS001
209,33,2,DM29 + Sialic Acid,0.086099997,MS001
210,33,3,DM29,0.2808,MS001
211,33,3,DM29 + Glucose,0.128800005,MS001
212,33,3,DM29 + Galactose,0.277099997,MS001
213,33,3,DM29 + Mucin Type II,0.374799997,MS001
214,33,3,DM29 + GlcNAc,0.084900007,MS001
215,33,3,DM29 + Sialic Acid,0.117599994,MS001
216,36,1,DM29,0.2632,MS001
217,36,1,DM29 + Glucose,0.135700017,MS001
218,36,1,DM29 + Galactose,0.289999992,MS001
219,36,1,DM29 + Mucin Type II,0.5537,MS001
220,36,1,DM29 + GlcNAc,0.130600005,MS001
221,36,1,DM29 + Sialic Acid,0.108399987,MS001
222,36,2,DM29,0.249100014,MS001
223,36,2,DM29 + Glucose,0.117799997,MS001
224,36,2,DM29 + Galactose,0.24939999,MS001
225,36,2,DM29 + Mucin Type II,0.40260002,MS001
226,36,2,DM29 + GlcNAc,0.100099996,MS001
227,36,2,DM29 + Sialic Acid,0.08129999,MS001
228,36,3,DM29,0.275699988,MS001
229,36,3,DM29 + Glucose,0.114800006,MS001
230,36,3,DM29 + Galactose,0.267800003,MS001
231,36,3,DM29 + Mucin Type II,0.396400005,MS001
232,36,3,DM29 + GlcNAc,0.083000004,MS001
233,36,3,DM29 + Sialic Acid,0.1215,MS001
234,39,1,DM29,0.274600014,MS001
235,39,1,DM29 + Glucose,0.130899996,MS001
236,39,1,DM29 + Galactose,0.285400003,MS001
237,39,1,DM29 + Mucin Type II,0.595699996,MS001
238,39,1,DM29 + GlcNAc,0.130800009,MS001
239,39,1,DM29 + Sialic Acid,0.104599997,MS001
240,39,2,DM29,0.236100003,MS001
241,39,2,DM29 + Glucose,0.113200009,MS001
242,39,2,DM29 + Galactose,0.261299998,MS001
243,39,2,DM29 + Mucin Type II,0.409500033,MS001
244,39,2,DM29 + GlcNAc,0.099800006,MS001
245,39,2,DM29 + Sialic Acid,0.08129999,MS001
246,39,3,DM29,0.266500011,MS001
247,39,3,DM29 + Glucose,0.109400004,MS001
248,39,3,DM29 + Galactose,0.277500004,MS001
249,39,3,DM29 + Mucin Type II,0.409100026,MS001
250,39,3,DM29 + GlcNAc,0.083000004,MS001
251,39,3,DM29 + Sialic Acid,0.114799991,MS001
252,42,1,DM29,0.271200016,MS001
253,42,1,DM29 + Glucose,0.121800005,MS001
254,42,1,DM29 + Galactose,0.355199993,MS001
255,42,1,DM29 + Mucin Type II,0.596699983,MS001
256,42,1,DM29 + GlcNAc,0.129900008,MS001
257,42,1,DM29 + Sialic Acid,0.104399994,MS001
258,42,2,DM29,0.229300007,MS001
259,42,2,DM29 + Glucose,0.107999995,MS001
260,42,2,DM29 + Galactose,0.299799979,MS001
261,42,2,DM29 + Mucin Type II,0.397200018,MS001
262,42,2,DM29 + GlcNAc,0.099299997,MS001
263,42,2,DM29 + Sialic Acid,0.089099988,MS001
264,42,3,DM29,0.252800003,MS001
265,42,3,DM29 + Glucose,0.105100006,MS001
266,42,3,DM29 + Galactose,0.350600004,MS001
267,42,3,DM29 + Mucin Type II,0.40260002,MS001
268,42,3,DM29 + GlcNAc,0.081300005,MS001
269,42,3,DM29 + Sialic Acid,0.160199985,MS001
270,45,1,DM29,0.249600008,MS001
271,45,1,DM29 + Glucose,0.129900008,MS001
272,45,1,DM29 + Galactose,0.322400004,MS001
273,45,1,DM29 + Mucin Type II,0.645300001,MS001
274,45,1,DM29 + GlcNAc,0.1329,MS001
275,45,1,DM29 + Sialic Acid,0.105700001,MS001
276,45,2,DM29,0.218700007,MS001
277,45,2,DM29 + Glucose,0.108500004,MS001
278,45,2,DM29 + Galactose,0.290600002,MS001
279,45,2,DM29 + Mucin Type II,0.39320001,MS001
280,45,2,DM29 + GlcNAc,0.099000007,MS001
281,45,2,DM29 + Sialic Acid,0.08479999,MS001
282,45,3,DM29,0.21859999,MS001
283,45,3,DM29 + Glucose,0.1065,MS001
284,45,3,DM29 + Galactose,0.281899989,MS001
285,45,3,DM29 + Mucin Type II,0.403799981,MS001
286,45,3,DM29 + GlcNAc,0.080400005,MS001
287,45,3,DM29 + Sialic Acid,0.118599996,MS001
288,48,1,DM29,0.236399993,MS001
289,48,1,DM29 + Glucose,0.159799993,MS001
290,48,1,DM29 + Galactose,0.335799992,MS001
291,48,1,DM29 + Mucin Type II,0.610299975,MS001
292,48,1,DM29 + GlcNAc,0.140599996,MS001
293,48,1,DM29 + Sialic Acid,0.09799999,MS001
294,48,2,DM29,0.227500007,MS001
295,48,2,DM29 + Glucose,0.101099998,MS001
296,48,2,DM29 + Galactose,0.301699996,MS001
297,48,2,DM29 + Mucin Type II,0.41080001,MS001
298,48,2,DM29 + GlcNAc,0.098900005,MS001
299,48,2,DM29 + Sialic Acid,0.081900001,MS001
300,48,3,DM29,0.209700003,MS001
301,48,3,DM29 + Glucose,0.099000007,MS001
302,48,3,DM29 + Galactose,0.292099982,MS001
303,48,3,DM29 + Mucin Type II,0.417099982,MS001
304,48,3,DM29 + GlcNAc,0.081200004,MS001
305,48,3,DM29 + Sialic Acid,0.170599982,MS001
306,51,1,DM29,0.229599997,MS001
307,51,1,DM29 + Glucose,0.130600005,MS001
308,51,1,DM29 + Galactose,0.296900004,MS001
309,51,1,DM29 + Mucin Type II,0.551300019,MS001
310,51,1,DM29 + GlcNAc,0.131300002,MS001
311,51,1,DM29 + Sialic Acid,0.097299993,MS001
312,51,2,DM29,0.216000006,MS001
313,51,2,DM29 + Glucose,0.095500007,MS001
314,51,2,DM29 + Galactose,0.306099981,MS001
315,51,2,DM29 + Mucin Type II,0.46510002,MS001
316,51,2,DM29 + GlcNAc,0.098100007,MS001
317,51,2,DM29 + Sialic Acid,0.081399992,MS001
318,51,3,DM29,0.195400014,MS001
319,51,3,DM29 + Glucose,0.070500001,MS001
320,51,3,DM29 + Galactose,0.270599991,MS001
321,51,3,DM29 + Mucin Type II,0.43930003,MS001
322,51,3,DM29 + GlcNAc,0.082300007,MS001
323,51,3,DM29 + Sialic Acid,0.109399989,MS001
324,54,1,DM29,0.191800013,MS001
325,54,1,DM29 + Glucose,0.201299995,MS001
326,54,1,DM29 + Galactose,0.262099981,MS001
327,54,1,DM29 + Mucin Type II,0.498599976,MS001
328,54,1,DM29 + GlcNAc,0.125699997,MS001
329,54,1,DM29 + Sialic Acid,0.0845,MS001
330,54,2,DM29,0.204900011,MS001
331,54,2,DM29 + Glucose,0.128300011,MS001
332,54,2,DM29 + Galactose,0.284999996,MS001
333,54,2,DM29 + Mucin Type II,0.495499998,MS001
334,54,2,DM29 + GlcNAc,0.098200008,MS001
335,54,2,DM29 + Sialic Acid,0.114399999,MS001
336,54,3,DM29,0.177099988,MS001
337,54,3,DM29 + Glucose,0.110500008,MS001
338,54,3,DM29 + Galactose,0.270699978,MS001
339,54,3,DM29 + Mucin Type II,0.449200004,MS001
340,54,3,DM29 + GlcNAc,0.085999995,MS001
341,54,3,DM29 + Sialic Acid,0.221200004,MS001
342,57,1,DM29,0.16610001,MS001
343,57,1,DM29 + Glucose,0.171099991,MS001
344,57,1,DM29 + Galactose,0.319499999,MS001
345,57,1,DM29 + Mucin Type II,0.249300033,MS001
346,57,1,DM29 + GlcNAc,0.077000007,MS001
347,57,1,DM29 + Sialic Acid,0.086899996,MS001
348,57,2,DM29,0.197300002,MS001
349,57,2,DM29 + Glucose,0.148800016,MS001
350,57,2,DM29 + Galactose,0.304100007,MS001
351,57,2,DM29 + Mucin Type II,0.516199976,MS001
352,57,2,DM29 + GlcNAc,0.098100007,MS001
353,57,2,DM29 + Sialic Acid,0.089099988,MS001
354,57,3,DM29,0.167500004,MS001
355,57,3,DM29 + Glucose,0.0924,MS001
356,57,3,DM29 + Galactose,0.276600003,MS001
357,57,3,DM29 + Mucin Type II,0.466699988,MS001
358,57,3,DM29 + GlcNAc,0.111499995,MS001
359,57,3,DM29 + Sialic Acid,0.311999992,MS001
360,60,1,DM29,0.128999993,MS001
361,60,1,DM29 + Glucose,0.17750001,MS001
362,60,1,DM29 + Galactose,0.239499986,MS001
363,60,1,DM29 + Mucin Type II,0.244100005,MS001
364,60,1,DM29 + GlcNAc,0.068800002,MS001
365,60,1,DM29 + Sialic Acid,0.123099998,MS001
366,60,2,DM29,0.172299996,MS001
367,60,2,DM29 + Glucose,0.158199996,MS001
368,60,2,DM29 + Galactose,0.260100007,MS001
369,60,2,DM29 + Mucin Type II,0.445000023,MS001
370,60,2,DM29 + GlcNAc,0.098100007,MS001
371,60,2,DM29 + Sialic Acid,0.101599991,MS001
372,60,3,DM29,0.137799993,MS001
373,60,3,DM29 + Glucose,0.188600004,MS001
374,60,3,DM29 + Galactose,0.274599999,MS001
375,60,3,DM29 + Mucin Type II,0.443800002,MS001
376,60,3,DM29 + GlcNAc,0.094300002,MS001
377,60,3,DM29 + Sialic Acid,0.242400006,MS001
378,63,1,DM29,0.106399998,MS001
379,63,1,DM29 + Glucose,0.211600006,MS001
380,63,1,DM29 + Galactose,0.273799986,MS001
381,63,1,DM29 + Mucin Type II,0.191100031,MS001
382,63,1,DM29 + GlcNAc,0.105800003,MS001
383,63,1,DM29 + Sialic Acid,0.124600008,MS001
384,63,2,DM29,0.1664,MS001
385,63,2,DM29 + Glucose,0.161200017,MS001
386,63,2,DM29 + Galactose,0.290199995,MS001
387,63,2,DM29 + Mucin Type II,0.401500017,MS001
388,63,2,DM29 + GlcNAc,0.097200006,MS001
389,63,2,DM29 + Sialic Acid,0.128399983,MS001
390,63,3,DM29,0.125599995,MS001
391,63,3,DM29 + Glucose,0.176600009,MS001
392,63,3,DM29 + Galactose,0.269999981,MS001
393,63,3,DM29 + Mucin Type II,0.308400005,MS001
394,63,3,DM29 + GlcNAc,0.083000004,MS001
395,63,3,DM29 + Sialic Acid,0.202099994,MS001
396,66,1,DM29,0.071700007,MS001
397,66,1,DM29 + Glucose,0.175599992,MS001
398,66,1,DM29 + Galactose,0.21359998,MS001
399,66,1,DM29 + Mucin Type II,0.167600006,MS001
400,66,1,DM29 + GlcNAc,0.0766,MS001
401,66,1,DM29 + Sialic Acid,0.059399992,MS001
402,66,2,DM29,0.128400013,MS001
403,66,2,DM29 + Glucose,0.118699998,MS001
404,66,2,DM29 + Galactose,0.252099991,MS001
405,66,2,DM29 + Mucin Type II,0.379699975,MS001
406,66,2,DM29 + GlcNAc,0.098200008,MS001
407,66,2,DM29 + Sialic Acid,0.059399992,MS001
408,66,3,DM29,0.086700007,MS001
409,66,3,DM29 + Glucose,0.143000007,MS001
410,66,3,DM29 + Galactose,0.258399993,MS001
411,66,3,DM29 + Mucin Type II,0.336900026,MS001
412,66,3,DM29 + GlcNAc,0.094799995,MS001
413,66,3,DM29 + Sialic Acid,0.192699984,MS001
414,0,1,DM29,0.0154,MS002
415,0,1,DM29 + Glucose,0.0044,MS002
416,0,1,DM29 + Galactose,0.021599993,MS002
417,0,1,DM29 + Mucin Type II,0.030099988,MS002
418,0,1,DM29 + GlcNAc,0.005699992,MS002
419,0,1,DM29 + Sialic Acid,0.010100007,MS002
420,0,2,DM29,0.016500004,MS002
421,0,2,DM29 + Glucose,0.006600007,MS002
422,0,2,DM29 + Galactose,0.0123,MS002
423,0,2,DM29 + Mucin Type II,0.0176,MS002
424,0,2,DM29 + GlcNAc,0.0079,MS002
425,0,2,DM29 + Sialic Acid,0.016400009,MS002
426,0,3,DM29,0.026599996,MS002
427,0,3,DM29 + Glucose,0.005800009,MS002
428,0,3,DM29 + Galactose,0.010899991,MS002
429,0,3,DM29 + Mucin Type II,0.014199972,MS002
430,0,3,DM29 + GlcNAc,0.015199989,MS002
431,0,3,DM29 + Sialic Acid,0.012100011,MS002
432,3,1,DM29,0.017500006,MS002
433,3,1,DM29 + Glucose,0.009500012,MS002
434,3,1,DM29 + Galactose,0.015599996,MS002
435,3,1,DM29 + Mucin Type II,0.00759998,MS002
436,3,1,DM29 + GlcNAc,0.013099998,MS002
437,3,1,DM29 + Sialic Acid,0.010400012,MS002
438,3,2,DM29,0.017500006,MS002
439,3,2,DM29 + Glucose,0.009500012,MS002
440,3,2,DM29 + Galactose,0.010800004,MS002
441,3,2,DM29 + Mucin Type II,0.000899971,MS002
442,3,2,DM29 + GlcNAc,0.013599992,MS002
443,3,2,DM29 + Sialic Acid,0.015600011,MS002
444,3,3,DM29,0.024600007,MS002
445,3,3,DM29 + Glucose,0.00850001,MS002
446,3,3,DM29 + Galactose,0.009100005,MS002
447,3,3,DM29 + Mucin Type II,-0.001900017,MS002
448,3,3,DM29 + GlcNAc,0.018599987,MS002
449,3,3,DM29 + Sialic Acid,0.012600005,MS002
450,6,1,DM29,0.035100006,MS002
451,6,1,DM29 + Glucose,0.110400006,MS002
452,6,1,DM29 + Galactose,0.013599992,MS002
453,6,1,DM29 + Mucin Type II,0.004899979,MS002
454,6,1,DM29 + GlcNAc,0.181099981,MS002
455,6,1,DM29 + Sialic Acid,0.08420001,MS002
456,6,2,DM29,0.030899994,MS002
457,6,2,DM29 + Glucose,0.141800016,MS002
458,6,2,DM29 + Galactose,0.011399999,MS002
459,6,2,DM29 + Mucin Type II,0.003399998,MS002
460,6,2,DM29 + GlcNAc,0.1787,MS002
461,6,2,DM29 + Sialic Acid,0.075500011,MS002
462,6,3,DM29,0.040599994,MS002
463,6,3,DM29 + Glucose,0.128700018,MS002
464,6,3,DM29 + Galactose,0.009000003,MS002
465,6,3,DM29 + Mucin Type II,-0.003400028,MS002
466,6,3,DM29 + GlcNAc,0.190499991,MS002
467,6,3,DM29 + Sialic Acid,0.061900005,MS002
468,9,1,DM29,0.169400014,MS002
469,9,1,DM29 + Glucose,0.761800021,MS002
470,9,1,DM29 + Galactose,0.025099993,MS002
471,9,1,DM29 + Mucin Type II,0.000799984,MS002
472,9,1,DM29 + GlcNAc,0.768099994,MS002
473,9,1,DM29 + Sialic Acid,0.608099997,MS002
474,9,2,DM29,0.149299987,MS002
475,9,2,DM29 + Glucose,0.81219998,MS002
476,9,2,DM29 + Galactose,0.029699996,MS002
477,9,2,DM29 + Mucin Type II,-0.000700027,MS002
478,9,2,DM29 + GlcNAc,0.766000003,MS002
479,9,2,DM29 + Sialic Acid,0.583700001,MS002
480,9,3,DM29,0.200800009,MS002
481,9,3,DM29 + Glucose,0.785400003,MS002
482,9,3,DM29 + Galactose,0.025800005,MS002
483,9,3,DM29 + Mucin Type II,-0.005300015,MS002
484,9,3,DM29 + GlcNAc,0.763799995,MS002
485,9,3,DM29 + Sialic Acid,0.569199979,MS002
486,12,1,DM29,0.229700007,MS002
487,12,1,DM29 + Glucose,0.823900014,MS002
488,12,1,DM29 + Galactose,0.1382,MS002
489,12,1,DM29 + Mucin Type II,9.99867E-05,MS002
490,12,1,DM29 + GlcNAc,0.643600017,MS002
491,12,1,DM29 + Sialic Acid,0.641099989,MS002
492,12,2,DM29,0.241099991,MS002
493,12,2,DM29 + Glucose,0.841299981,MS002
494,12,2,DM29 + Galactose,0.170600012,MS002
495,12,2,DM29 + Mucin Type II,-0.002400011,MS002
496,12,2,DM29 + GlcNAc,0.669100016,MS002
497,12,2,DM29 + Sialic Acid,0.653699994,MS002
498,12,3,DM29,0.217700012,MS002
499,12,3,DM29 + Glucose,0.842200011,MS002
500,12,3,DM29 + Galactose,0.153099999,MS002
501,12,3,DM29 + Mucin Type II,-0.006100029,MS002
502,12,3,DM29 + GlcNAc,0.677599996,MS002
503,12,3,DM29 + Sialic Acid,0.646000028,MS002
504,15,1,DM29,0.241499998,MS002
505,15,1,DM29 + Glucose,0.667400032,MS002
506,15,1,DM29 + Galactose,0.275300011,MS002
507,15,1,DM29 + Mucin Type II,0.050299972,MS002
508,15,1,DM29 + GlcNAc,0.541999966,MS002
509,15,1,DM29 + Sialic Acid,0.516300023,MS002
510,15,2,DM29,0.223800011,MS002
511,15,2,DM29 + Glucose,0.693200022,MS002
512,15,2,DM29 + Galactose,0.291499987,MS002
513,15,2,DM29 + Mucin Type II,0.015099973,MS002
514,15,2,DM29 + GlcNAc,0.564699978,MS002
515,15,2,DM29 + Sialic Acid,0.560100019,MS002
516,15,3,DM29,0.220700003,MS002
517,15,3,DM29 + Glucose,0.702500016,MS002
518,15,3,DM29 + Galactose,0.302699998,MS002
519,15,3,DM29 + Mucin Type II,0.02789998,MS002
520,15,3,DM29 + GlcNAc,0.560099989,MS002
521,15,3,DM29 + Sialic Acid,0.532700002,MS002
522,18,1,DM29,0.258300014,MS002
523,18,1,DM29 + Glucose,0.561700016,MS002
524,18,1,DM29 + Galactose,0.247600004,MS002
525,18,1,DM29 + Mucin Type II,0.276499987,MS002
526,18,1,DM29 + GlcNAc,0.513200015,MS002
527,18,1,DM29 + Sialic Acid,0.429800034,MS002
528,18,2,DM29,0.210700013,MS002
529,18,2,DM29 + Glucose,0.584499985,MS002
